movie,genre,runtime,certificate,rating,stars,description,votes,director
Saint Omer,Drama            ,122 min,PG-13,6.9,"['Kayije Kagame, ', 'Guslagie Malanda, ', 'Valérie Dréville, ', 'Aurélia Petit', '']","Follows Rama, a novelist who attends the trial of Laurence Coly at the Saint-Omer Criminal Court to use her story to write a modern-day adaptation of the ancient myth of Medea, but things don't go as expected.","3,474",['Alice Diop']
Los pacientes del doctor García,Drama            ,60 min,A,6.8,"['Javier Rey, ', 'Tamar Novas, ', 'Verónica Echegui, ', 'Eva Llorach', '']","Doctor Guillermo Garcia and Manuel Arroyo, a Republican diplomat infiltrate a clandestine network that helps Nazis settle in Spain and Latin America.",666,
The Toy Soldiers,Drama            ,143 min,R,5.4,"['Najarra Townsend, ', 'Constance Brenneman, ', 'Chandler Rylko, ', 'Jeanette May Steiner', '']","On one evening in a decade of sex, drugs and rock 'n' roll, the innocence of youth and family unravels. Five lives will change forever on this final evening before their hangout, The Toy Soldiers Roller Rink, closes its doors.","1,570",['Erik Peter Carlson']
Rare Objects,Drama            ,123 min,R,5.2,"['Julia Mayorga, ', 'Katie Holmes, ', 'Saundra Santiago, ', 'Candy Buckley', '']","""Rare Objects"" tells the story of a young woman who seeks to rebuild her life when she takes work at an antique store. She regains her confidence from the kind souls who own the shop, until those from her traumatic past begin to resurface.",209,['Katie Holmes']
Everything Must Go,Drama            ,97 min,R,6.4,"['Will Ferrell, ', 'Rebecca Hall, ', 'Christopher Jordan Wallace, ', 'Michael Peña', '']","When an alcoholic relapses, causing him to lose his wife and his job, he holds a yard sale on his front lawn in an attempt to start over. A new neighbor might be the key to his return to form.",$2.71M,['Dan Rush']
Mass,Drama            ,111 min,PG-13,7.6,"['Jason Isaacs, ', 'Martha Plimpton, ', 'Ann Dowd, ', 'Reed Birney', '']",The parents of both the shooter and one of the victims of a school shooting tragedy agree to meet and talk in an attempt to move forward.,"16,353",['Fran Kranz']
The Night of the Iguana,Drama            ,125 min,,7.6,"['Richard Burton, ', 'Ava Gardner, ', 'Deborah Kerr, ', 'Sue Lyon', '']",An ostracized Episcopal clergyman leads a busload of middle-aged Baptist women on a tour of the Mexican coast and comes to terms with the failure haunting his life.,$9.43M,['John Huston']
Promised Land,Drama            ,106 min,R,6.6,"['Matt Damon, ', 'Frances McDormand, ', 'John Krasinski, ', 'Hal Holbrook', '']","A salesman for a natural gas company experiences life-changing events after arriving in a small town, where his corporation wants to tap into the available resources.",$7.60M,['Gus Van Sant']
Cigare au miel,Drama            ,100 min,,6.1,"['Zoé Adjani, ', 'Amira Casar, ', 'Lyès Salem, ', 'Louis Peres', '']","Selma, 17, who lives in a bourgeois and secular Berber family. When she meets Julien in college, she realizes for the first time the impact of patriarchal rules on her intimacy.",642,['Kamir Aïnouz']
Sublime,Drama            ,100 min,,6.4,"['Martín Miller, ', 'Teo Inama Chiabrando, ', 'Azul Mazzeo, ', 'Joaquín Arana', '']","Manuel lives in a small coastal town. He plays bass in a band with his best friends. One of them is Felipe, with whom he shares a strong friendship. Unbreakable bond. Until the time comes to put it to test.",704,['Mariano Biasin']
Shtisel,Drama            ,45 min,13,8.6,"[""Doval'e Glickman, "", 'Michael Aloni, ', 'Neta Riskin, ', 'Shira Haas', '']","A Haredi family living in an ultra-Orthodox neighborhood of Jerusalem reckons with love, loss and the doldrums of daily life.","7,842",
The Romanoffs,Drama            ,60 min,16,7,"['Diane Lane, ', 'JJ Feild, ', 'Aaron Eckhart, ', 'Louise Bourgoin', '']",Anthology of eight stories about people who believe themselves to be descendant of the Russian Royal family.,"6,204",
X/Y,Drama            ,82 min,,4.2,"['Ryan Piers Williams, ', 'America Ferrera, ', 'Jon Paul Phillips, ', 'David Harbour', '']",A look at the lives and interactions of a group of friends living in New York.,682,['Ryan Piers Williams']
Marseille,Drama            ,41 min,18,6.9,"['Gérard Depardieu, ', 'Benoît Magimel, ', 'Géraldine Pailhas, ', 'Stéphane Caillard', '']","A tale of power, corruption and redemption set against the rich backdrop of the French port city of Marseille.","5,441",
Zalim Istanbul,Drama            ,120 min,18,5.7,"['Fikret Kuskan, ', 'Deniz Ugur, ', 'Ozan Dolunay, ', 'Sera Kutlubey', '']","Seher starts working at Agah Bey's house with her children. Curious love triangles form between the children of the two families, and the terrible secrets in the mansion begin to be revealed.","1,109",
Rivals,Drama            ,,,,"['David Tennant, ', 'Aidan Turner, ', 'Katherine Parkinson, ', 'Danny Dyer', '']",It follows Rupert Campbell-Black and Tony Baddingham as they have a longstanding rivalry that comes to a head.,,
The Company Men,Drama            ,104 min,R,6.7,"['Ben Affleck, ', 'Chris Cooper, ', 'Tommy Lee Jones, ', 'Suzanne Rico', '']","The story centers on a year in the life of three men trying to survive a round of corporate downsizing at a major company - and how that affects them, their families, and their communities.",$4.44M,['John Wells']
Berdreymi,Drama            ,123 min,,7.5,"['Birgir Dagur Bjarkason, ', 'Áskell Einar Pálmason, ', 'Viktor Benóný Benediktsson, ', 'Snorri Rafn Frímannsson', '']","Addi, a gifted boy raised by a clairvoyant mother, decides to adopt a bullied misfit into his gang of outsiders. Left to their own devices, the boys discover aggression, violence, loyalty, and love.","1,744",['Guðmundur Arnar Guðmundsson']
Marvin's Room,Drama            ,98 min,U,6.7,"['Meryl Streep, ', 'Leonardo DiCaprio, ', 'Diane Keaton, ', 'Robert De Niro', '']","After seventeen years, a fiercely independent woman and her rebellious son return home and together they turn the family she left behind upside down.",$12.78M,['Jerry Zaks']
Tori et Lokita,Drama            ,88 min,,7.1,"['Pablo Schils, ', 'Joely Mbundu, ', 'Alban Ukaj, ', 'Tijmen Govaerts', '']","From two-time Palme d'Or-winners Jean-Pierre and Luc Dardenne, Tori and Lokita is a heart-stopping thriller that casts an unflinching eye on the trials of the young and dispossessed.","2,189",
To Die For,Drama            ,100 min,,4,"['John Schneider, ', 'Cody McCarver, ', 'Quinton Aaron, ', 'Becky Andrews', '']",What can one man do to fight the intentional decay of the greatest country the world has ever known?,291,['John Schneider']
Kis Uykusu,Drama            ,196 min,,8.1,"['Haluk Bilginer, ', 'Melisa Sözen, ', 'Demet Akbag, ', 'Ayberk Pekcan', '']",A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,$0.17M,['Nuri Bilge Ceylan']
Satisfaction,Drama            ,60 min,,7.3,"['Kestie Morassi, ', 'Madeleine West, ', 'Alison Whyte, ', 'Diana Glenn', '']","Set in a high-class brothel, this new series creates a hyper-reality in which the viewer is privy to the private lives and emotions of five beautiful young women.","1,429",
"Trapper John, M.D.",Drama            ,60 min,,6.6,"['Pernell Roberts, ', 'Brian Stokes Mitchell, ', 'Charles Siebert, ', 'Gregory Harrison', '']",The Korean War M*A*S*H unit veteran operates as Chief Surgeon in a major city hospital with his colleagues.,"2,115",
Ondskan,Drama            ,113 min,,7.7,"['Andreas Wilson, ', 'Henrik Lundström, ', 'Gustaf Skarsgård, ', 'Linda Zilliacus', '']","A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.",$0.02M,['Mikael Håfström']
Nell,Drama            ,112 min,PG-13,6.5,"['Jodie Foster, ', 'Liam Neeson, ', 'Natasha Richardson, ', 'Richard Libertini', '']","In a remote woodland cabin, a small-town doctor discovers Nell - a beautiful young hermit-woman with many secrets.",$33.68M,['Michael Apted']
Si lo hubiera sabido,Drama            ,35 min,UA 16+,6.2,"['Salva Reina, ', 'Megan Montaner, ', 'Miquel Fernández, ', 'Irina Bravo', '']","Follow the story of a 30-year-old woman who, when feeling dissatisfied with her marriage and family life, finds herself sent back in time 10 years following a lunar eclipse.","1,236",
Import Export,Drama            ,141 min,,7,"['Ekateryna Rak, ', 'Lidiya Oleksandrivna Savka, ', 'Oksana Ivanivna Sklyarenko, ', 'Dmytro Andriyovich Gachkov', '']","A nurse from Ukraine searches for a better life in the West, while an unemployed security guard from Austria heads East for the same reason.","6,115",['Ulrich Seidl']
Blackbird,Drama            ,97 min,R,6.6,"['Sam Neill, ', 'Susan Sarandon, ', 'Anson Boon, ', 'Kate Winslet', '']",A terminally ill mother arranges to bring her family together one last time before she dies. A remake of the 2014 Danish film 'Silent Heart'.,"5,423",['Roger Michell']
The Heart Is Deceitful Above All Things,Drama            ,98 min,Not Rated,6.3,"['Asia Argento, ', 'Dylan Sprouse, ', 'Cole Sprouse, ', 'Jimmy Bennett', '']","Seven-year-old Jeremiah is pulled from his foster home and thrown into a troubled life on the road with his teenage mother, Sarah.",$0.03M,['Asia Argento']
A Family Man,Drama            ,108 min,R,6.5,"['Gerard Butler, ', 'Gretchen Mol, ', 'Alison Brie, ', 'Anupam Kher', '']","A headhunter whose life revolves around closing deals in a survival-of-the-fittest boiler room battles his top rival for control of their job placement company, but his dream of owning the company clashes with the needs of his family.","12,971",['Mark Williams']
Expecting Amish,Drama            ,88 min,,6.1,"['AJ Michalka, ', 'Jesse McCartney, ', 'Alyson Stoner, ', 'Cayden Boyd', '']","Expecting Amish on Lifetime tells the story of 18-year-old Hannah Yoder, who is ready to join the Amish Church and marry her boyfriend Samuel. But things change when she goes to Hollywood and gets a glimpse of the world beyond.",804,['Richard Gabai']
If I Can't,Drama            ,,,5.2,"['Mena Monroe, ', 'Tristin Fazekas, ', 'Crystal The Doll, ', 'Tonja Brown', '']","It tells the story of woman, who's in search for love after a tragedy and finds it in the hands of an abuser.",190,['Mena Monroe']
Dalva,Drama            ,83 min,,7.7,"['Zelda Samson, ', 'Alexis Manenti, ', 'Fanta Guirassy, ', 'Marie Denarnaud', '']","Dalva is 12, but she dresses and lives like a woman. One day, she's taken away from her house. Dumbfounded at first, she later meets Jayden, a social worker, and Samia, a teen with a temper. A new life seems to start for Dalva.",692,['Emmanuelle Nicot']
The Ballad of Jack and Rose,Drama            ,112 min,R,6.5,"['Daniel Day-Lewis, ', 'Catherine Keener, ', 'Camilla Belle, ', 'Ryan McDonald', '']",A father and daughter isolated on an island off the East Coast and living on a once-thriving commune grapple with the limits of family and sexuality.,$0.71M,['Rebecca Miller']
Vanity Fair,Drama            ,60 min,,7.3,"['Michael Palin, ', 'Olivia Cooke, ', 'Tom Bateman, ', 'Johnny Flynn', '']",An adaptation of the 1848 novel by William Makepeace Thackeray.,"5,399",
Ask Me Anything,Drama            ,100 min,,6,"['Britt Robertson, ', 'Molly Hagan, ', 'Andy Buckley, ', 'Robert Patrick', '']","A confused teenager writes a blog revealing her daily activities and secrets, advised to do so by her high school guidance counselor in lieu of moving on to her first year in college.","12,748",['Allison Burnett']
Skymed,Drama            ,44 min,16,6.4,"['Natasha Calis, ', 'Morgan Holmstrom, ', 'Praneet Akilla, ', 'Aason Nadjiwon', '']","Follows intense character journeys and high-stakes medical rescues, heartbreaks and tribulations of budding nurses and pilots flying air ambulances.","1,114",
The Boys in the Band,Drama            ,121 min,18,6.8,"['Jim Parsons, ', 'Zachary Quinto, ', 'Matt Bomer, ', 'Andrew Rannells', '']","At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.","17,001",['Joe Mantello']
The Colour Room,Drama            ,108 min,,6.8,"['Phoebe Dynevor, ', 'Matthew Goode, ', 'Kerry Fox, ', 'Darci Shaw', '']",Clarice Cliff breaks the glass ceiling and revolutionizes the workplace at a pottery factory in 1920s England.,"1,407",['Claire McCarthy']
Piccoli fuochi,Drama            ,95 min,,5.6,"['Dino Jaksic, ', 'Valeria Golino, ', 'Carlotta Wittig, ', 'Mario Garriba', '']","Little boy Tommaso has several imaginary friends who like to play cruel pranks on the staff in his house. When new maid Mara arrives, Tommaso bonds with her, but his jealous imaginary friends devise the cruelest prank yet for her.",319,['Peter Del Monte']
The Sweet East,Drama            ,104 min,,7.2,"['Talia Ryder, ', 'Earl Cave, ', 'Simon Rex, ', 'Ayo Edebiri', '']","A picaresque journey through the cities and woods of the Eastern seaboard of the U.S undertaken by Lillian, a high school senior from South Carolina. She gets her first glimpse of the wider world on a class trip to Washington, D.C.",62,['Sean Price Williams']
Silk,Drama            ,60 min,,8,"['Maxine Peake, ', 'Rupert Penry-Jones, ', 'Neil Stuke, ', 'Theo Barklem-Biggs', '']","Drama series about life at the Bar, the dilemmas and problems that modern day barristers have to face, and what it means to become a silk.","5,349",
Skate Kitchen,Drama            ,106 min,R,6.8,"['Rachelle Vinberg, ', 'Dede Lovelace, ', 'Nina Moran, ', 'Kabrina Adams', '']",A teenaged skateboarder makes friends with a bunch of other skateboarding girls in New York City.,$0.24M,['Crystal Moselle']
Yukinojô henge,Drama            ,115 min,,7.4,"['Kazuo Hasegawa, ', 'Fujiko Yamamoto, ', 'Ayako Wakao, ', 'Eiji Funakoshi', '']","Yukinojo, a Kabuki actor, seeks revenge by destroying the three men who caused the deaths of his parents. Also involved are the daughter of one of Yukinojo's targets, two master thieves, and a swordsman who himself is out to kill Yukinojo.","2,687",['Kon Ichikawa']
